22:06:35 936	 start loadBaseParameter
22:08:51 209	3  GrabFrame times:1,result=
22:08:51 261	 2 getImage times:2
22:08:51 261	3  GrabFrame times:2,result=
22:08:54 318	 start loadPinDef
22:08:54 321	 finished loadPinDef
22:08:54 325	 start setSN
22:08:54 325	start cam_stop 
22:08:54 437	finish cam_stop 
22:08:54 938	start cam_stop 
22:08:55 050	finish cam_stop 
22:08:55 051	 start Playnew
22:08:55 051	into cam_play:deviceID0 
22:08:55 052	openDevice:deviceID0 
22:08:55 184	开始sensor power:deviceID 0 
22:08:55 477	完成sensor power:deviceID 0 
22:08:55 489	完成Pin set:deviceID 0 
22:08:55 769	完成I2C set:deviceID 0 
22:08:55 889	SensorIsMe check failed:deviceID 0 
22:08:55 890	start cam_stop 
22:08:56 002	finish cam_stop 
22:08:56 204	 start Playnew
22:08:56 204	into cam_play:deviceID0 
22:08:56 205	openDevice:deviceID0 
22:08:56 336	开始sensor power:deviceID 0 
22:08:56 628	完成sensor power:deviceID 0 
22:08:56 639	完成Pin set:deviceID 0 
22:08:56 920	完成I2C set:deviceID 0 
22:08:57 040	SensorIsMe check failed:deviceID 0 
22:08:57 042	 1:start getImage
22:08:57 042	 2 getImage times:0
22:08:57 043	3  GrabFrame times:0,result=
22:08:57 094	 2 getImage times:1
22:08:57 094	3  GrabFrame times:1,result=
22:08:57 146	 2 getImage times:2
22:08:57 146	3  GrabFrame times:2,result=
22:08:57 200	 1:start getImage
22:08:57 200	 2 getImage times:0
22:08:57 201	3  GrabFrame times:0,result=
22:08:57 252	 2 getImage times:1
22:08:57 252	3  GrabFrame times:1,result=
22:08:57 304	 2 getImage times:2
22:08:57 304	3  GrabFrame times:2,result=
22:08:57 357	 1:start getImage
22:08:57 358	 2 getImage times:0
22:08:57 358	3  GrabFrame times:0,result=
22:08:57 410	 2 getImage times:1
22:08:57 410	3  GrabFrame times:1,result=
22:08:57 462	 2 getImage times:2
22:08:57 462	3  GrabFrame times:2,result=
22:08:57 515	 1:start getImage
22:08:57 515	 2 getImage times:0
22:08:57 516	3  GrabFrame times:0,result=
22:08:57 567	 2 getImage times:1
22:08:57 567	3  GrabFrame times:1,result=
22:08:57 619	 2 getImage times:2
22:08:57 619	3  GrabFrame times:2,result=
22:08:57 672	 1:start getImage
22:08:57 672	 2 getImage times:0
22:08:57 673	3  GrabFrame times:0,result=
22:08:57 724	 2 getImage times:1
22:08:57 724	3  GrabFrame times:1,result=
22:08:57 775	 2 getImage times:2
22:08:57 775	3  GrabFrame times:2,result=
22:08:57 828	 1:start getImage
22:08:57 828	 2 getImage times:0
22:08:57 829	3  GrabFrame times:0,result=
22:08:57 880	 2 getImage times:1
22:08:57 880	3  GrabFrame times:1,result=
22:08:57 932	 2 getImage times:2
22:08:57 932	3  GrabFrame times:2,result=
22:09:00 988	 start loadPinDef
22:09:00 992	 finished loadPinDef
22:09:00 995	 start setSN
22:09:00 996	start cam_stop 
22:09:01 107	finish cam_stop 
22:09:01 609	start cam_stop 
22:09:01 720	finish cam_stop 
22:09:01 721	 start Playnew
22:09:01 721	into cam_play:deviceID0 
22:09:01 722	openDevice:deviceID0 
22:09:01 852	开始sensor power:deviceID 0 
22:09:02 145	完成sensor power:deviceID 0 
22:09:02 156	完成Pin set:deviceID 0 
22:09:02 437	完成I2C set:deviceID 0 
22:09:02 557	SensorIsMe check failed:deviceID 0 
22:09:02 558	start cam_stop 
22:09:02 670	finish cam_stop 
22:09:02 872	 start Playnew
22:09:02 872	into cam_play:deviceID0 
22:09:02 873	openDevice:deviceID0 
22:09:03 004	开始sensor power:deviceID 0 
22:09:03 297	完成sensor power:deviceID 0 
22:09:03 308	完成Pin set:deviceID 0 
22:09:03 588	完成I2C set:deviceID 0 
22:09:03 709	SensorIsMe check failed:deviceID 0 
22:09:03 710	 1:start getImage
22:09:03 711	 2 getImage times:0
22:09:03 711	3  GrabFrame times:0,result=
22:09:03 763	 2 getImage times:1
22:09:03 763	3  GrabFrame times:1,result=
22:09:03 815	 2 getImage times:2
22:09:03 815	3  GrabFrame times:2,result=
22:09:03 868	 1:start getImage
22:09:03 869	 2 getImage times:0
22:09:03 869	3  GrabFrame times:0,result=
22:09:03 921	 2 getImage times:1
22:09:03 921	3  GrabFrame times:1,result=
22:09:03 973	 2 getImage times:2
22:09:03 973	3  GrabFrame times:2,result=
22:09:04 026	 1:start getImage
22:09:04 026	 2 getImage times:0
22:09:04 027	3  GrabFrame times:0,result=
22:09:04 078	 2 getImage times:1
22:09:04 078	3  GrabFrame times:1,result=
22:09:04 130	 2 getImage times:2
22:09:04 130	3  GrabFrame times:2,result=
22:09:04 183	 1:start getImage
22:09:04 183	 2 getImage times:0
22:09:04 184	3  GrabFrame times:0,result=
22:09:04 235	 2 getImage times:1
22:09:04 235	3  GrabFrame times:1,result=
22:09:04 287	 2 getImage times:2
22:09:04 287	3  GrabFrame times:2,result=
22:09:04 340	 1:start getImage
22:09:04 340	 2 getImage times:0
22:09:04 341	3  GrabFrame times:0,result=
22:09:04 392	 2 getImage times:1
22:09:04 392	3  GrabFrame times:1,result=
22:09:04 444	 2 getImage times:2
22:09:04 444	3  GrabFrame times:2,result=
22:09:04 497	 1:start getImage
22:09:04 497	 2 getImage times:0
22:09:04 498	3  GrabFrame times:0,result=
22:09:04 549	 2 getImage times:1
22:09:04 549	3  GrabFrame times:1,result=
22:09:04 601	 2 getImage times:2
22:09:04 601	3  GrabFrame times:2,result=
22:10:20 456	 start loadPinDef
22:10:20 460	 finished loadPinDef
22:10:20 463	 start setSN
22:10:20 464	start cam_stop 
22:10:20 575	finish cam_stop 
22:10:21 077	start cam_stop 
22:10:21 188	finish cam_stop 
22:10:21 189	 start Playnew
22:10:21 189	into cam_play:deviceID0 
22:10:21 190	openDevice:deviceID0 
22:10:21 320	开始sensor power:deviceID 0 
22:10:21 613	完成sensor power:deviceID 0 
22:10:21 624	完成Pin set:deviceID 0 
22:10:21 905	完成I2C set:deviceID 0 
22:10:22 025	SensorIsMe check failed:deviceID 0 
22:10:22 026	start cam_stop 
22:10:22 137	finish cam_stop 
22:10:22 338	 start Playnew
22:10:22 338	into cam_play:deviceID0 
22:10:22 339	openDevice:deviceID0 
22:10:22 471	开始sensor power:deviceID 0 
22:10:22 764	完成sensor power:deviceID 0 
22:10:22 775	完成Pin set:deviceID 0 
22:10:23 056	完成I2C set:deviceID 0 
22:10:23 176	SensorIsMe check failed:deviceID 0 
22:10:23 177	 1:start getImage
22:10:23 177	 2 getImage times:0
22:10:23 178	3  GrabFrame times:0,result=
22:10:23 229	 2 getImage times:1
22:10:23 229	3  GrabFrame times:1,result=
22:10:23 281	 2 getImage times:2
22:10:23 281	3  GrabFrame times:2,result=
22:10:23 336	 1:start getImage
22:10:23 338	 2 getImage times:0
22:10:23 338	3  GrabFrame times:0,result=
22:10:23 390	 2 getImage times:1
22:10:23 390	3  GrabFrame times:1,result=
22:10:23 442	 2 getImage times:2
22:10:23 442	3  GrabFrame times:2,result=
22:10:23 495	 1:start getImage
22:10:23 496	 2 getImage times:0
22:10:23 496	3  GrabFrame times:0,result=
22:10:23 548	 2 getImage times:1
22:10:23 548	3  GrabFrame times:1,result=
22:10:23 600	 2 getImage times:2
22:10:23 600	3  GrabFrame times:2,result=
22:10:23 652	 1:start getImage
22:10:23 653	 2 getImage times:0
22:10:23 653	3  GrabFrame times:0,result=
22:10:23 704	 2 getImage times:1
22:10:23 704	3  GrabFrame times:1,result=
22:10:23 756	 2 getImage times:2
22:10:23 756	3  GrabFrame times:2,result=
22:10:23 809	 1:start getImage
22:10:23 809	 2 getImage times:0
22:10:23 810	3  GrabFrame times:0,result=
22:10:23 861	 2 getImage times:1
22:10:23 861	3  GrabFrame times:1,result=
22:10:23 912	 2 getImage times:2
22:10:23 912	3  GrabFrame times:2,result=
22:10:23 965	 1:start getImage
22:10:23 966	 2 getImage times:0
22:10:23 966	3  GrabFrame times:0,result=
22:10:24 018	 2 getImage times:1
22:10:24 018	3  GrabFrame times:1,result=
22:10:24 070	 2 getImage times:2
22:10:24 070	3  GrabFrame times:2,result=
22:10:27 127	 start loadPinDef
22:10:27 131	 finished loadPinDef
22:10:27 134	 start setSN
22:10:27 135	start cam_stop 
22:10:27 246	finish cam_stop 
22:10:27 747	start cam_stop 
22:10:27 858	finish cam_stop 
22:10:27 859	 start Playnew
22:10:27 859	into cam_play:deviceID0 
22:10:27 860	openDevice:deviceID0 
22:10:27 991	开始sensor power:deviceID 0 
22:10:28 285	完成sensor power:deviceID 0 
22:10:28 297	完成Pin set:deviceID 0 
22:10:28 577	完成I2C set:deviceID 0 
22:10:28 697	SensorIsMe check failed:deviceID 0 
22:10:28 698	start cam_stop 
22:10:28 809	finish cam_stop 
22:10:29 011	 start Playnew
22:10:29 011	into cam_play:deviceID0 
22:10:29 012	openDevice:deviceID0 
22:10:29 142	开始sensor power:deviceID 0 
22:10:29 434	完成sensor power:deviceID 0 
22:10:29 446	完成Pin set:deviceID 0 
22:10:29 726	完成I2C set:deviceID 0 
22:10:29 846	SensorIsMe check failed:deviceID 0 
22:10:29 847	 1:start getImage
22:10:29 847	 2 getImage times:0
22:10:29 848	3  GrabFrame times:0,result=
22:10:29 899	 2 getImage times:1
22:10:29 899	3  GrabFrame times:1,result=
22:10:29 951	 2 getImage times:2
22:10:29 951	3  GrabFrame times:2,result=
22:10:30 005	 1:start getImage
22:10:30 005	 2 getImage times:0
22:10:30 006	3  GrabFrame times:0,result=
22:10:30 057	 2 getImage times:1
22:10:30 057	3  GrabFrame times:1,result=
22:10:30 109	 2 getImage times:2
22:10:30 109	3  GrabFrame times:2,result=
22:10:30 162	 1:start getImage
22:10:30 162	 2 getImage times:0
22:10:30 163	3  GrabFrame times:0,result=
22:10:30 214	 2 getImage times:1
22:10:30 214	3  GrabFrame times:1,result=
22:10:30 266	 2 getImage times:2
22:10:30 266	3  GrabFrame times:2,result=
22:10:30 319	 1:start getImage
22:10:30 319	 2 getImage times:0
22:10:30 320	3  GrabFrame times:0,result=
22:10:30 371	 2 getImage times:1
22:10:30 371	3  GrabFrame times:1,result=
22:10:30 423	 2 getImage times:2
22:10:30 423	3  GrabFrame times:2,result=
22:10:30 476	 1:start getImage
22:10:30 476	 2 getImage times:0
22:10:30 477	3  GrabFrame times:0,result=
22:10:30 528	 2 getImage times:1
22:10:30 528	3  GrabFrame times:1,result=
22:10:30 580	 2 getImage times:2
22:10:30 580	3  GrabFrame times:2,result=
22:10:30 633	 1:start getImage
22:10:30 633	 2 getImage times:0
22:10:30 634	3  GrabFrame times:0,result=
22:10:30 685	 2 getImage times:1
22:10:30 685	3  GrabFrame times:1,result=
22:10:30 737	 2 getImage times:2
22:10:30 737	3  GrabFrame times:2,result=
22:10:33 792	 start loadPinDef
22:10:33 796	 finished loadPinDef
22:10:33 799	 start setSN
22:10:33 800	start cam_stop 
22:10:33 911	finish cam_stop 
22:10:34 412	start cam_stop 
22:10:34 523	finish cam_stop 
22:10:34 524	 start Playnew
22:10:34 524	into cam_play:deviceID0 
22:10:34 525	openDevice:deviceID0 
22:10:34 657	开始sensor power:deviceID 0 
22:10:34 950	完成sensor power:deviceID 0 
22:10:34 961	完成Pin set:deviceID 0 
22:10:35 242	完成I2C set:deviceID 0 
22:10:35 362	SensorIsMe check failed:deviceID 0 
22:10:35 363	start cam_stop 
22:10:35 475	finish cam_stop 
22:10:35 677	 start Playnew
22:10:35 677	into cam_play:deviceID0 
22:10:35 678	openDevice:deviceID0 
22:10:35 809	开始sensor power:deviceID 0 
22:10:36 102	完成sensor power:deviceID 0 
22:10:36 112	完成Pin set:deviceID 0 
22:10:36 392	完成I2C set:deviceID 0 
22:10:36 512	SensorIsMe check failed:deviceID 0 
22:10:36 513	 1:start getImage
22:10:36 514	 2 getImage times:0
22:10:36 514	3  GrabFrame times:0,result=
22:10:36 566	 2 getImage times:1
22:10:36 566	3  GrabFrame times:1,result=
22:10:36 618	 2 getImage times:2
22:10:36 618	3  GrabFrame times:2,result=
22:10:36 672	 1:start getImage
22:10:36 672	 2 getImage times:0
22:10:36 673	3  GrabFrame times:0,result=
22:10:36 724	 2 getImage times:1
22:10:36 724	3  GrabFrame times:1,result=
22:10:36 776	 2 getImage times:2
22:10:36 776	3  GrabFrame times:2,result=
22:10:36 829	 1:start getImage
22:10:36 830	 2 getImage times:0
22:10:36 830	3  GrabFrame times:0,result=
22:10:36 882	 2 getImage times:1
22:10:36 882	3  GrabFrame times:1,result=
22:10:36 934	 2 getImage times:2
22:10:36 934	3  GrabFrame times:2,result=
22:10:36 987	 1:start getImage
22:10:36 988	 2 getImage times:0
22:10:36 988	3  GrabFrame times:0,result=
22:10:37 040	 2 getImage times:1
22:10:37 040	3  GrabFrame times:1,result=
22:10:37 092	 2 getImage times:2
22:10:37 092	3  GrabFrame times:2,result=
22:10:37 145	 1:start getImage
22:10:37 146	 2 getImage times:0
22:10:37 146	3  GrabFrame times:0,result=
22:10:37 197	 2 getImage times:1
22:10:37 197	3  GrabFrame times:1,result=
22:10:37 248	 2 getImage times:2
22:10:37 248	3  GrabFrame times:2,result=
22:10:37 301	 1:start getImage
22:10:37 302	 2 getImage times:0
22:10:37 302	3  GrabFrame times:0,result=
22:10:37 353	 2 getImage times:1
22:10:37 353	3  GrabFrame times:1,result=
22:10:37 405	 2 getImage times:2
22:10:37 405	3  GrabFrame times:2,result=
22:10:52 263	 start loadPinDef
22:10:52 267	 finished loadPinDef
22:10:52 270	 start setSN
22:10:52 271	start cam_stop 
22:10:52 382	finish cam_stop 
22:10:52 884	start cam_stop 
22:10:52 996	finish cam_stop 
22:10:52 997	 start Playnew
22:10:52 997	into cam_play:deviceID0 
22:10:52 998	openDevice:deviceID0 
22:10:53 129	开始sensor power:deviceID 0 
22:10:53 422	完成sensor power:deviceID 0 
22:10:53 434	完成Pin set:deviceID 0 
22:10:53 713	完成I2C set:deviceID 0 
22:10:53 833	SensorIsMe check failed:deviceID 0 
22:10:53 834	start cam_stop 
22:10:53 946	finish cam_stop 
22:10:54 148	 start Playnew
22:10:54 148	into cam_play:deviceID0 
22:10:54 149	openDevice:deviceID0 
22:10:54 280	开始sensor power:deviceID 0 
22:10:54 573	完成sensor power:deviceID 0 
22:10:54 584	完成Pin set:deviceID 0 
22:10:54 865	完成I2C set:deviceID 0 
22:10:54 985	SensorIsMe check failed:deviceID 0 
22:10:54 986	 1:start getImage
22:10:54 987	 2 getImage times:0
22:10:54 987	3  GrabFrame times:0,result=
22:10:55 039	 2 getImage times:1
22:10:55 039	3  GrabFrame times:1,result=
22:10:55 090	 2 getImage times:2
22:10:55 090	3  GrabFrame times:2,result=
22:10:55 143	 1:start getImage
22:10:55 143	 2 getImage times:0
22:10:55 144	3  GrabFrame times:0,result=
22:10:55 195	 2 getImage times:1
22:10:55 195	3  GrabFrame times:1,result=
22:10:55 247	 2 getImage times:2
22:10:55 247	3  GrabFrame times:2,result=
22:10:55 300	 1:start getImage
22:10:55 301	 2 getImage times:0
22:10:55 301	3  GrabFrame times:0,result=
22:10:55 352	 2 getImage times:1
22:10:55 353	3  GrabFrame times:1,result=
22:10:55 405	 2 getImage times:2
22:10:55 405	3  GrabFrame times:2,result=
22:10:55 458	 1:start getImage
22:10:55 459	 2 getImage times:0
22:10:55 460	3  GrabFrame times:0,result=
22:10:55 511	 2 getImage times:1
22:10:55 511	3  GrabFrame times:1,result=
22:10:55 563	 2 getImage times:2
22:10:55 563	3  GrabFrame times:2,result=
22:10:55 616	 1:start getImage
22:10:55 616	 2 getImage times:0
22:10:55 617	3  GrabFrame times:0,result=
22:10:55 668	 2 getImage times:1
22:10:55 668	3  GrabFrame times:1,result=
22:10:55 720	 2 getImage times:2
22:10:55 720	3  GrabFrame times:2,result=
22:10:55 772	 1:start getImage
22:10:55 772	 2 getImage times:0
22:10:55 773	3  GrabFrame times:0,result=
22:10:55 824	 2 getImage times:1
22:10:55 824	3  GrabFrame times:1,result=
22:10:55 876	 2 getImage times:2
22:10:55 876	3  GrabFrame times:2,result=
22:10:58 932	 start loadPinDef
22:10:58 936	 finished loadPinDef
22:10:58 939	 start setSN
22:10:58 940	start cam_stop 
22:10:59 051	finish cam_stop 
22:10:59 553	start cam_stop 
22:10:59 664	finish cam_stop 
22:10:59 665	 start Playnew
22:10:59 665	into cam_play:deviceID0 
22:10:59 666	openDevice:deviceID0 
22:10:59 797	开始sensor power:deviceID 0 
22:11:00 090	完成sensor power:deviceID 0 
22:11:00 101	完成Pin set:deviceID 0 
22:11:00 382	完成I2C set:deviceID 0 
22:11:00 502	SensorIsMe check failed:deviceID 0 
22:11:00 503	start cam_stop 
22:11:00 614	finish cam_stop 
22:11:00 816	 start Playnew
22:11:00 816	into cam_play:deviceID0 
22:11:00 817	openDevice:deviceID0 
22:11:00 948	开始sensor power:deviceID 0 
22:11:01 242	完成sensor power:deviceID 0 
22:11:01 253	完成Pin set:deviceID 0 
22:11:01 534	完成I2C set:deviceID 0 
22:11:01 655	SensorIsMe check failed:deviceID 0 
22:11:01 656	 1:start getImage
22:11:01 656	 2 getImage times:0
22:11:01 657	3  GrabFrame times:0,result=
22:11:01 708	 2 getImage times:1
22:11:01 708	3  GrabFrame times:1,result=
22:11:01 759	 2 getImage times:2
22:11:01 759	3  GrabFrame times:2,result=
22:11:01 812	 1:start getImage
22:11:01 813	 2 getImage times:0
22:11:01 813	3  GrabFrame times:0,result=
22:11:01 865	 2 getImage times:1
22:11:01 865	3  GrabFrame times:1,result=
22:11:01 917	 2 getImage times:2
22:11:01 917	3  GrabFrame times:2,result=
22:11:01 970	 1:start getImage
22:11:01 970	 2 getImage times:0
22:11:01 971	3  GrabFrame times:0,result=
22:11:02 022	 2 getImage times:1
22:11:02 022	3  GrabFrame times:1,result=
22:11:02 074	 2 getImage times:2
22:11:02 074	3  GrabFrame times:2,result=
22:11:02 126	 1:start getImage
22:11:02 126	 2 getImage times:0
22:11:02 127	3  GrabFrame times:0,result=
22:11:02 178	 2 getImage times:1
22:11:02 178	3  GrabFrame times:1,result=
22:11:02 230	 2 getImage times:2
22:11:02 230	3  GrabFrame times:2,result=
22:11:02 283	 1:start getImage
22:11:02 284	 2 getImage times:0
22:11:02 284	3  GrabFrame times:0,result=
22:11:02 336	 2 getImage times:1
22:11:02 336	3  GrabFrame times:1,result=
22:11:02 387	 2 getImage times:2
22:11:02 387	3  GrabFrame times:2,result=
22:11:02 440	 1:start getImage
22:11:02 441	 2 getImage times:0
22:11:02 441	3  GrabFrame times:0,result=
22:11:02 493	 2 getImage times:1
22:11:02 493	3  GrabFrame times:1,result=
22:11:02 545	 2 getImage times:2
22:11:02 545	3  GrabFrame times:2,result=
22:11:05 601	 start loadPinDef
22:11:05 605	 finished loadPinDef
22:11:05 608	 start setSN
22:11:05 609	start cam_stop 
22:11:05 720	finish cam_stop 
22:11:06 221	start cam_stop 
22:11:06 332	finish cam_stop 
22:11:06 333	 start Playnew
22:11:06 333	into cam_play:deviceID0 
22:11:06 334	openDevice:deviceID0 
22:11:06 464	开始sensor power:deviceID 0 
22:11:06 757	完成sensor power:deviceID 0 
22:11:06 768	完成Pin set:deviceID 0 
22:11:07 049	完成I2C set:deviceID 0 
22:11:07 169	SensorIsMe check failed:deviceID 0 
22:11:07 170	start cam_stop 
22:11:07 282	finish cam_stop 
22:11:07 484	 start Playnew
22:11:07 484	into cam_play:deviceID0 
22:11:07 485	openDevice:deviceID0 
22:11:07 615	开始sensor power:deviceID 0 
22:11:07 909	完成sensor power:deviceID 0 
22:11:07 920	完成Pin set:deviceID 0 
22:11:08 201	完成I2C set:deviceID 0 
22:11:08 321	SensorIsMe check failed:deviceID 0 
22:11:08 323	 1:start getImage
22:11:08 323	 2 getImage times:0
22:11:08 324	3  GrabFrame times:0,result=
22:11:08 375	 2 getImage times:1
22:11:08 375	3  GrabFrame times:1,result=
22:11:08 427	 2 getImage times:2
22:11:08 427	3  GrabFrame times:2,result=
22:11:08 481	 1:start getImage
22:11:08 481	 2 getImage times:0
22:11:08 482	3  GrabFrame times:0,result=
22:11:08 533	 2 getImage times:1
22:11:08 533	3  GrabFrame times:1,result=
22:11:08 585	 2 getImage times:2
22:11:08 585	3  GrabFrame times:2,result=
22:11:08 638	 1:start getImage
22:11:08 639	 2 getImage times:0
22:11:08 639	3  GrabFrame times:0,result=
22:11:08 691	 2 getImage times:1
22:11:08 691	3  GrabFrame times:1,result=
22:11:08 742	 2 getImage times:2
22:11:08 742	3  GrabFrame times:2,result=
22:11:08 795	 1:start getImage
22:11:08 796	 2 getImage times:0
22:11:08 796	3  GrabFrame times:0,result=
22:11:08 848	 2 getImage times:1
22:11:08 848	3  GrabFrame times:1,result=
22:11:08 900	 2 getImage times:2
22:11:08 900	3  GrabFrame times:2,result=
22:11:08 953	 1:start getImage
22:11:08 953	 2 getImage times:0
22:11:08 954	3  GrabFrame times:0,result=
22:11:09 005	 2 getImage times:1
22:11:09 005	3  GrabFrame times:1,result=
22:11:09 056	 2 getImage times:2
22:11:09 056	3  GrabFrame times:2,result=
22:11:09 109	 1:start getImage
22:11:09 109	 2 getImage times:0
22:11:09 110	3  GrabFrame times:0,result=
22:11:09 161	 2 getImage times:1
22:11:09 161	3  GrabFrame times:1,result=
22:11:09 213	 2 getImage times:2
22:11:09 213	3  GrabFrame times:2,result=
22:12:43 677	 start loadBaseParameter
22:12:45 642	 start setSN
22:12:45 643	 start setSN
22:12:45 643	 start setSN
22:12:45 643	 start setSN
22:12:45 656	 start loadPinDef
22:12:45 661	 finished loadPinDef
22:12:45 665	 start loadPinDef
22:12:45 669	 finished loadPinDef
22:12:45 673	 start loadPinDef
22:12:45 676	 finished loadPinDef
22:12:45 680	 start loadPinDef
22:12:45 683	 finished loadPinDef
22:13:05 227	 start loadBaseParameter
22:13:06 697	 start setSN
22:13:06 698	 start setSN
22:13:06 698	 start setSN
22:13:06 698	 start setSN
22:13:06 700	 start loadPinDef
22:13:06 704	 finished loadPinDef
22:13:06 708	 start loadPinDef
22:13:06 711	 finished loadPinDef
22:13:06 715	 start loadPinDef
22:13:06 718	 finished loadPinDef
22:13:06 722	 start loadPinDef
22:13:06 725	 finished loadPinDef
