15:41:04 238	 start loadBaseParameter
16:01:13 536	 finished loadPinDef
16:01:13 539	 start loadPinDef
16:01:13 542	 finished loadPinDef
16:01:13 545	 start loadPinDef
16:01:13 548	 finished loadPinDef
16:01:13 552	 start loadPinDef
16:01:13 555	 finished loadPinDef
16:04:00 359	 start loadPinDef
16:04:00 362	 finished loadPinDef
16:04:00 366	 start setSN
16:04:00 367	start cam_stop 
16:04:00 469	finish cam_stop 
16:04:00 969	start cam_stop 
16:04:01 071	finish cam_stop 
16:04:01 071	 start Playnew
16:04:01 072	into cam_play:deviceID2 
16:04:01 073	openDevice:deviceID2 
16:04:01 197	开始sensor power:deviceID 2 
16:04:01 490	完成sensor power:deviceID 2 
16:04:01 501	完成Pin set:deviceID 2 
16:04:01 782	完成I2C set:deviceID 2 
16:04:01 902	SensorIsMe check failed:deviceID 2 
16:04:01 903	start cam_stop 
16:04:02 014	finish cam_stop 
16:04:02 216	 start Playnew
16:04:02 216	into cam_play:deviceID2 
16:04:02 216	openDevice:deviceID2 
16:04:02 347	开始sensor power:deviceID 2 
16:04:02 640	完成sensor power:deviceID 2 
16:04:02 651	完成Pin set:deviceID 2 
16:04:02 932	完成I2C set:deviceID 2 
16:04:03 052	SensorIsMe check failed:deviceID 2 
16:04:03 054	 1:start getImage
16:04:03 055	 2 getImage times:0
16:04:03 055	3  GrabFrame times:0,result=
16:04:03 107	 2 getImage times:1
16:04:03 107	3  GrabFrame times:1,result=
16:04:03 159	 2 getImage times:2
16:04:03 159	3  GrabFrame times:2,result=
16:04:03 213	 1:start getImage
16:04:03 213	 2 getImage times:0
16:04:03 214	3  GrabFrame times:0,result=
16:04:03 265	 2 getImage times:1
16:04:03 265	3  GrabFrame times:1,result=
16:04:03 317	 2 getImage times:2
16:04:03 317	3  GrabFrame times:2,result=
16:04:03 370	 1:start getImage
16:04:03 370	 2 getImage times:0
16:04:03 371	3  GrabFrame times:0,result=
16:04:03 422	 2 getImage times:1
16:04:03 422	3  GrabFrame times:1,result=
16:04:03 474	 2 getImage times:2
16:04:03 474	3  GrabFrame times:2,result=
16:04:03 527	 1:start getImage
16:04:03 527	 2 getImage times:0
16:04:03 528	3  GrabFrame times:0,result=
16:04:03 579	 2 getImage times:1
16:04:03 579	3  GrabFrame times:1,result=
16:04:03 631	 2 getImage times:2
16:04:03 631	3  GrabFrame times:2,result=
16:04:03 684	 1:start getImage
16:04:03 684	 2 getImage times:0
16:04:03 685	3  GrabFrame times:0,result=
16:04:03 736	 2 getImage times:1
16:04:03 736	3  GrabFrame times:1,result=
16:04:03 788	 2 getImage times:2
16:04:03 788	3  GrabFrame times:2,result=
16:04:03 841	 1:start getImage
16:04:03 841	 2 getImage times:0
16:04:03 842	3  GrabFrame times:0,result=
16:04:03 893	 2 getImage times:1
16:04:03 893	3  GrabFrame times:1,result=
16:04:03 945	 2 getImage times:2
16:04:03 945	3  GrabFrame times:2,result=
16:04:07 001	 start loadPinDef
16:04:07 005	 finished loadPinDef
16:04:07 008	 start setSN
16:04:07 008	start cam_stop 
16:04:07 120	finish cam_stop 
16:04:07 621	start cam_stop 
16:04:07 732	finish cam_stop 
16:04:07 733	 start Playnew
16:04:07 733	into cam_play:deviceID2 
16:04:07 734	openDevice:deviceID2 
16:04:07 865	开始sensor power:deviceID 2 
16:04:08 158	完成sensor power:deviceID 2 
16:04:08 169	完成Pin set:deviceID 2 
16:04:08 449	完成I2C set:deviceID 2 
16:04:08 569	SensorIsMe check failed:deviceID 2 
16:04:08 570	start cam_stop 
16:04:08 682	finish cam_stop 
16:04:08 884	 start Playnew
16:04:08 884	into cam_play:deviceID2 
16:04:08 885	openDevice:deviceID2 
16:04:09 015	开始sensor power:deviceID 2 
16:04:09 307	完成sensor power:deviceID 2 
16:04:09 319	完成Pin set:deviceID 2 
16:04:09 599	完成I2C set:deviceID 2 
16:04:09 719	SensorIsMe check failed:deviceID 2 
16:04:09 725	 1:start getImage
16:04:09 726	 2 getImage times:0
16:04:09 726	3  GrabFrame times:0,result=
16:04:09 778	 2 getImage times:1
16:04:09 778	3  GrabFrame times:1,result=
16:04:09 830	 2 getImage times:2
16:04:09 830	3  GrabFrame times:2,result=
16:04:09 884	 1:start getImage
16:04:09 884	 2 getImage times:0
16:04:09 885	3  GrabFrame times:0,result=
16:04:09 936	 2 getImage times:1
16:04:09 936	3  GrabFrame times:1,result=
16:04:09 988	 2 getImage times:2
16:04:09 988	3  GrabFrame times:2,result=
16:04:10 041	 1:start getImage
16:04:10 042	 2 getImage times:0
16:04:10 042	3  GrabFrame times:0,result=
16:04:10 093	 2 getImage times:1
16:04:10 093	3  GrabFrame times:1,result=
16:04:10 145	 2 getImage times:2
16:04:10 145	3  GrabFrame times:2,result=
16:04:10 198	 1:start getImage
16:04:10 198	 2 getImage times:0
16:04:10 199	3  GrabFrame times:0,result=
16:04:10 250	 2 getImage times:1
16:04:10 250	3  GrabFrame times:1,result=
16:04:10 302	 2 getImage times:2
16:04:10 302	3  GrabFrame times:2,result=
16:04:10 355	 1:start getImage
16:04:10 355	 2 getImage times:0
16:04:10 356	3  GrabFrame times:0,result=
16:04:10 407	 2 getImage times:1
16:04:10 407	3  GrabFrame times:1,result=
16:04:10 459	 2 getImage times:2
16:04:10 459	3  GrabFrame times:2,result=
16:04:10 512	 1:start getImage
16:04:10 512	 2 getImage times:0
16:04:10 513	3  GrabFrame times:0,result=
16:04:10 564	 2 getImage times:1
16:04:10 564	3  GrabFrame times:1,result=
16:04:10 616	 2 getImage times:2
16:04:10 616	3  GrabFrame times:2,result=
16:04:13 672	 start loadPinDef
16:04:13 675	 finished loadPinDef
16:04:13 679	 start setSN
16:04:13 679	start cam_stop 
16:04:13 791	finish cam_stop 
16:04:14 293	start cam_stop 
16:04:14 404	finish cam_stop 
16:04:14 405	 start Playnew
16:04:14 405	into cam_play:deviceID2 
16:04:14 406	openDevice:deviceID2 
16:04:14 536	开始sensor power:deviceID 2 
16:04:14 829	完成sensor power:deviceID 2 
16:04:14 840	完成Pin set:deviceID 2 
16:04:15 121	完成I2C set:deviceID 2 
16:04:15 241	SensorIsMe check failed:deviceID 2 
16:04:15 242	start cam_stop 
16:04:15 353	finish cam_stop 
16:04:15 555	 start Playnew
16:04:15 555	into cam_play:deviceID2 
16:04:15 556	openDevice:deviceID2 
16:04:15 686	开始sensor power:deviceID 2 
16:04:15 979	完成sensor power:deviceID 2 
16:04:15 990	完成Pin set:deviceID 2 
16:04:16 270	完成I2C set:deviceID 2 
16:04:16 390	SensorIsMe check failed:deviceID 2 
16:04:16 391	 1:start getImage
16:04:16 392	 2 getImage times:0
16:04:16 392	3  GrabFrame times:0,result=
16:04:16 444	 2 getImage times:1
16:04:16 444	3  GrabFrame times:1,result=
16:04:16 496	 2 getImage times:2
16:04:16 496	3  GrabFrame times:2,result=
16:04:16 549	 1:start getImage
16:04:16 549	 2 getImage times:0
16:04:16 550	3  GrabFrame times:0,result=
16:04:16 602	 2 getImage times:1
16:04:16 602	3  GrabFrame times:1,result=
16:04:16 654	 2 getImage times:2
16:04:16 654	3  GrabFrame times:2,result=
16:04:16 707	 1:start getImage
16:04:16 707	 2 getImage times:0
16:04:16 708	3  GrabFrame times:0,result=
16:04:16 759	 2 getImage times:1
16:04:16 759	3  GrabFrame times:1,result=
16:04:16 811	 2 getImage times:2
16:04:16 811	3  GrabFrame times:2,result=
16:04:16 864	 1:start getImage
16:04:16 864	 2 getImage times:0
16:04:16 865	3  GrabFrame times:0,result=
16:04:16 916	 2 getImage times:1
16:04:16 916	3  GrabFrame times:1,result=
16:04:16 968	 2 getImage times:2
16:04:16 968	3  GrabFrame times:2,result=
16:04:17 021	 1:start getImage
16:04:17 021	 2 getImage times:0
16:04:17 022	3  GrabFrame times:0,result=
16:04:17 073	 2 getImage times:1
16:04:17 073	3  GrabFrame times:1,result=
16:04:17 125	 2 getImage times:2
16:04:17 125	3  GrabFrame times:2,result=
16:04:17 178	 1:start getImage
16:04:17 178	 2 getImage times:0
16:04:17 179	3  GrabFrame times:0,result=
16:04:17 230	 2 getImage times:1
16:04:17 230	3  GrabFrame times:1,result=
16:04:17 282	 2 getImage times:2
16:04:17 282	3  GrabFrame times:2,result=
16:04:28 190	 start loadPinDef
16:04:28 193	 finished loadPinDef
16:04:28 197	 start setSN
16:04:28 197	start cam_stop 
16:04:28 309	finish cam_stop 
16:04:28 810	start cam_stop 
16:04:28 921	finish cam_stop 
16:04:28 922	 start Playnew
16:04:28 922	into cam_play:deviceID2 
16:04:28 923	openDevice:deviceID2 
16:04:29 054	开始sensor power:deviceID 2 
16:04:29 347	完成sensor power:deviceID 2 
16:04:29 358	完成Pin set:deviceID 2 
16:04:29 639	完成I2C set:deviceID 2 
16:04:29 759	SensorIsMe check failed:deviceID 2 
16:04:29 760	start cam_stop 
16:04:29 871	finish cam_stop 
16:04:30 073	 start Playnew
16:04:30 073	into cam_play:deviceID2 
16:04:30 074	openDevice:deviceID2 
16:04:30 204	开始sensor power:deviceID 2 
16:04:30 497	完成sensor power:deviceID 2 
16:04:30 509	完成Pin set:deviceID 2 
16:04:30 789	完成I2C set:deviceID 2 
16:04:30 909	SensorIsMe check failed:deviceID 2 
16:04:30 910	 1:start getImage
16:04:30 910	 2 getImage times:0
16:04:30 911	3  GrabFrame times:0,result=
16:04:30 962	 2 getImage times:1
16:04:30 962	3  GrabFrame times:1,result=
16:04:31 014	 2 getImage times:2
16:04:31 014	3  GrabFrame times:2,result=
16:04:31 068	 1:start getImage
16:04:31 068	 2 getImage times:0
16:04:31 069	3  GrabFrame times:0,result=
16:04:31 120	 2 getImage times:1
16:04:31 120	3  GrabFrame times:1,result=
16:04:31 172	 2 getImage times:2
16:04:31 172	3  GrabFrame times:2,result=
16:04:31 225	 1:start getImage
16:04:31 225	 2 getImage times:0
16:04:31 226	3  GrabFrame times:0,result=
16:04:31 277	 2 getImage times:1
16:04:31 277	3  GrabFrame times:1,result=
16:04:31 329	 2 getImage times:2
16:04:31 329	3  GrabFrame times:2,result=
16:04:31 382	 1:start getImage
16:04:31 382	 2 getImage times:0
16:04:31 383	3  GrabFrame times:0,result=
16:04:31 434	 2 getImage times:1
16:04:31 434	3  GrabFrame times:1,result=
16:04:31 486	 2 getImage times:2
16:04:31 486	3  GrabFrame times:2,result=
16:04:31 539	 1:start getImage
16:04:31 539	 2 getImage times:0
16:04:31 540	3  GrabFrame times:0,result=
16:04:31 591	 2 getImage times:1
16:04:31 591	3  GrabFrame times:1,result=
16:04:31 643	 2 getImage times:2
16:04:31 643	3  GrabFrame times:2,result=
16:04:31 696	 1:start getImage
16:04:31 696	 2 getImage times:0
16:04:31 697	3  GrabFrame times:0,result=
16:04:31 748	 2 getImage times:1
16:04:31 748	3  GrabFrame times:1,result=
16:04:31 800	 2 getImage times:2
16:04:31 800	3  GrabFrame times:2,result=
16:04:34 856	 start loadPinDef
16:04:34 859	 finished loadPinDef
16:04:34 863	 start setSN
16:04:34 863	start cam_stop 
16:04:34 975	finish cam_stop 
16:04:35 476	start cam_stop 
16:04:35 587	finish cam_stop 
16:04:35 588	 start Playnew
16:04:35 588	into cam_play:deviceID2 
16:04:35 589	openDevice:deviceID2 
16:04:35 720	开始sensor power:deviceID 2 
16:04:36 013	完成sensor power:deviceID 2 
16:04:36 025	完成Pin set:deviceID 2 
16:04:36 305	完成I2C set:deviceID 2 
16:04:36 425	SensorIsMe check failed:deviceID 2 
16:04:36 426	start cam_stop 
16:04:36 538	finish cam_stop 
16:04:36 740	 start Playnew
16:04:36 740	into cam_play:deviceID2 
16:04:36 741	openDevice:deviceID2 
16:04:36 872	开始sensor power:deviceID 2 
16:04:37 165	完成sensor power:deviceID 2 
16:04:37 175	完成Pin set:deviceID 2 
16:04:37 456	完成I2C set:deviceID 2 
16:04:37 576	SensorIsMe check failed:deviceID 2 
16:04:37 578	 1:start getImage
16:04:37 578	 2 getImage times:0
16:04:37 579	3  GrabFrame times:0,result=
16:04:37 630	 2 getImage times:1
16:04:37 630	3  GrabFrame times:1,result=
16:04:37 682	 2 getImage times:2
16:04:37 682	3  GrabFrame times:2,result=
16:04:37 736	 1:start getImage
16:04:37 736	 2 getImage times:0
16:04:37 737	3  GrabFrame times:0,result=
16:04:37 788	 2 getImage times:1
16:04:37 788	3  GrabFrame times:1,result=
16:04:37 840	 2 getImage times:2
16:04:37 840	3  GrabFrame times:2,result=
16:04:37 893	 1:start getImage
16:04:37 893	 2 getImage times:0
16:04:37 894	3  GrabFrame times:0,result=
16:04:37 945	 2 getImage times:1
16:04:37 945	3  GrabFrame times:1,result=
16:04:37 997	 2 getImage times:2
16:04:37 997	3  GrabFrame times:2,result=
16:04:38 050	 1:start getImage
16:04:38 050	 2 getImage times:0
16:04:38 051	3  GrabFrame times:0,result=
16:04:38 102	 2 getImage times:1
16:04:38 102	3  GrabFrame times:1,result=
16:04:38 154	 2 getImage times:2
16:04:38 154	3  GrabFrame times:2,result=
16:04:38 207	 1:start getImage
16:04:38 207	 2 getImage times:0
16:04:38 208	3  GrabFrame times:0,result=
16:04:38 259	 2 getImage times:1
16:04:38 259	3  GrabFrame times:1,result=
16:04:38 311	 2 getImage times:2
16:04:38 311	3  GrabFrame times:2,result=
16:04:38 364	 1:start getImage
16:04:38 364	 2 getImage times:0
16:04:38 365	3  GrabFrame times:0,result=
16:04:38 416	 2 getImage times:1
16:04:38 416	3  GrabFrame times:1,result=
16:04:38 468	 2 getImage times:2
16:04:38 468	3  GrabFrame times:2,result=
16:04:41 524	 start loadPinDef
16:04:41 527	 finished loadPinDef
16:04:41 531	 start setSN
16:04:41 531	start cam_stop 
16:04:41 643	finish cam_stop 
16:04:42 145	start cam_stop 
16:04:42 256	finish cam_stop 
16:04:42 257	 start Playnew
16:04:42 257	into cam_play:deviceID2 
16:04:42 258	openDevice:deviceID2 
16:04:42 390	开始sensor power:deviceID 2 
16:04:42 682	完成sensor power:deviceID 2 
16:04:42 693	完成Pin set:deviceID 2 
16:04:42 974	完成I2C set:deviceID 2 
16:04:43 094	SensorIsMe check failed:deviceID 2 
16:04:43 095	start cam_stop 
16:04:43 207	finish cam_stop 
16:04:43 409	 start Playnew
16:04:43 409	into cam_play:deviceID2 
16:04:43 410	openDevice:deviceID2 
16:04:43 541	开始sensor power:deviceID 2 
16:04:43 834	完成sensor power:deviceID 2 
16:04:43 846	完成Pin set:deviceID 2 
16:04:44 126	完成I2C set:deviceID 2 
16:04:44 245	SensorIsMe check failed:deviceID 2 
16:04:44 246	 1:start getImage
16:04:44 247	 2 getImage times:0
16:04:44 247	3  GrabFrame times:0,result=
16:04:44 298	 2 getImage times:1
16:04:44 298	3  GrabFrame times:1,result=
16:04:44 350	 2 getImage times:2
16:04:44 350	3  GrabFrame times:2,result=
16:04:44 403	 1:start getImage
16:04:44 403	 2 getImage times:0
16:04:44 404	3  GrabFrame times:0,result=
16:04:44 455	 2 getImage times:1
16:04:44 455	3  GrabFrame times:1,result=
16:04:44 507	 2 getImage times:2
16:04:44 507	3  GrabFrame times:2,result=
16:04:44 560	 1:start getImage
16:04:44 560	 2 getImage times:0
16:04:44 561	3  GrabFrame times:0,result=
16:04:44 612	 2 getImage times:1
16:04:44 612	3  GrabFrame times:1,result=
16:04:44 664	 2 getImage times:2
16:04:44 664	3  GrabFrame times:2,result=
16:04:44 717	 1:start getImage
16:04:44 717	 2 getImage times:0
16:04:44 718	3  GrabFrame times:0,result=
16:04:44 769	 2 getImage times:1
16:04:44 769	3  GrabFrame times:1,result=
16:04:44 821	 2 getImage times:2
16:04:44 821	3  GrabFrame times:2,result=
16:04:44 874	 1:start getImage
16:04:44 874	 2 getImage times:0
16:04:44 875	3  GrabFrame times:0,result=
16:04:44 926	 2 getImage times:1
16:04:44 926	3  GrabFrame times:1,result=
16:04:44 978	 2 getImage times:2
16:04:44 978	3  GrabFrame times:2,result=
16:04:45 031	 1:start getImage
16:04:45 031	 2 getImage times:0
16:04:45 032	3  GrabFrame times:0,result=
16:04:45 083	 2 getImage times:1
16:04:45 083	3  GrabFrame times:1,result=
16:04:45 135	 2 getImage times:2
16:04:45 135	3  GrabFrame times:2,result=
17:33:42 659	 start loadPinDef
17:33:42 662	 finished loadPinDef
17:33:42 666	 start setSN
17:33:42 667	start cam_stop 
17:33:42 768	finish cam_stop 
17:33:43 269	start cam_stop 
17:33:43 371	finish cam_stop 
17:33:43 371	 start Playnew
17:33:43 372	into cam_play:deviceID2 
17:33:43 372	openDevice:deviceID2 
17:33:43 497	开始sensor power:deviceID 2 
17:33:43 789	完成sensor power:deviceID 2 
17:33:43 800	完成Pin set:deviceID 2 
17:33:44 081	完成I2C set:deviceID 2 
17:33:44 201	SensorIsMe check failed:deviceID 2 
17:33:44 202	start cam_stop 
17:33:44 314	finish cam_stop 
17:33:44 515	 start Playnew
17:33:44 515	into cam_play:deviceID3 
17:33:44 516	openDevice:deviceID3 
17:33:44 647	开始sensor power:deviceID 3 
17:33:44 940	完成sensor power:deviceID 3 
17:33:44 951	完成Pin set:deviceID 3 
17:33:45 231	完成I2C set:deviceID 3 
17:33:45 351	SensorIsMe check failed:deviceID 3 
17:33:45 353	 1:start getImage
17:33:45 354	 2 getImage times:0
17:33:45 354	3  GrabFrame times:0,result=
17:33:45 406	 2 getImage times:1
17:33:45 406	3  GrabFrame times:1,result=
17:33:45 458	 2 getImage times:2
17:33:45 458	3  GrabFrame times:2,result=
17:33:45 511	 1:start getImage
17:33:45 512	 2 getImage times:0
17:33:45 512	3  GrabFrame times:0,result=
17:33:45 564	 2 getImage times:1
17:33:45 564	3  GrabFrame times:1,result=
17:33:45 616	 2 getImage times:2
17:33:45 616	3  GrabFrame times:2,result=
17:33:45 669	 1:start getImage
17:33:45 669	 2 getImage times:0
17:33:45 670	3  GrabFrame times:0,result=
17:33:45 721	 2 getImage times:1
17:33:45 721	3  GrabFrame times:1,result=
17:33:45 773	 2 getImage times:2
17:33:45 773	3  GrabFrame times:2,result=
17:33:45 826	 1:start getImage
17:33:45 827	 2 getImage times:0
17:33:45 827	3  GrabFrame times:0,result=
17:33:45 879	 2 getImage times:1
17:33:45 879	3  GrabFrame times:1,result=
17:33:45 931	 2 getImage times:2
17:33:45 931	3  GrabFrame times:2,result=
17:33:45 984	 1:start getImage
17:33:45 985	 2 getImage times:0
17:33:45 985	3  GrabFrame times:0,result=
17:33:46 036	 2 getImage times:1
17:33:46 036	3  GrabFrame times:1,result=
17:33:46 088	 2 getImage times:2
17:33:46 088	3  GrabFrame times:2,result=
17:33:46 141	 1:start getImage
17:33:46 141	 2 getImage times:0
17:33:46 142	3  GrabFrame times:0,result=
17:33:46 193	 2 getImage times:1
17:33:46 193	3  GrabFrame times:1,result=
17:33:46 244	 2 getImage times:2
17:33:46 244	3  GrabFrame times:2,result=
17:33:49 302	 start loadPinDef
17:33:49 305	 finished loadPinDef
17:33:49 309	 start setSN
17:33:49 309	start cam_stop 
17:33:49 412	finish cam_stop 
17:33:49 912	start cam_stop 
17:33:50 014	finish cam_stop 
17:33:50 014	 start Playnew
17:33:50 015	into cam_play:deviceID2 
17:33:50 015	openDevice:deviceID2 
17:33:50 141	开始sensor power:deviceID 2 
17:33:50 434	完成sensor power:deviceID 2 
17:33:50 446	完成Pin set:deviceID 2 
17:33:50 726	完成I2C set:deviceID 2 
17:33:50 846	SensorIsMe check failed:deviceID 2 
17:33:50 847	start cam_stop 
17:33:50 959	finish cam_stop 
17:33:51 161	 start Playnew
17:33:51 161	into cam_play:deviceID4 
17:33:51 162	openDevice:deviceID4 
17:33:51 293	开始sensor power:deviceID 4 
17:33:51 585	完成sensor power:deviceID 4 
17:33:51 596	完成Pin set:deviceID 4 
17:33:51 877	完成I2C set:deviceID 4 
17:33:52 011	SensorIsMe check failed:deviceID 4 
17:33:52 013	 1:start getImage
17:33:52 013	 2 getImage times:0
17:33:52 014	3  GrabFrame times:0,result=
17:33:52 065	 2 getImage times:1
17:33:52 065	3  GrabFrame times:1,result=
17:33:52 117	 2 getImage times:2
17:33:52 117	3  GrabFrame times:2,result=
17:33:52 171	 1:start getImage
17:33:52 171	 2 getImage times:0
17:33:52 172	3  GrabFrame times:0,result=
17:33:52 223	 2 getImage times:1
17:33:52 223	3  GrabFrame times:1,result=
17:33:52 275	 2 getImage times:2
17:33:52 275	3  GrabFrame times:2,result=
17:33:52 328	 1:start getImage
17:33:52 328	 2 getImage times:0
17:33:52 329	3  GrabFrame times:0,result=
17:33:52 380	 2 getImage times:1
17:33:52 380	3  GrabFrame times:1,result=
17:33:52 432	 2 getImage times:2
17:33:52 432	3  GrabFrame times:2,result=
17:33:52 485	 1:start getImage
17:33:52 486	 2 getImage times:0
17:33:52 486	3  GrabFrame times:0,result=
17:33:52 538	 2 getImage times:1
17:33:52 538	3  GrabFrame times:1,result=
17:33:52 590	 2 getImage times:2
17:33:52 590	3  GrabFrame times:2,result=
17:33:52 643	 1:start getImage
17:33:52 643	 2 getImage times:0
17:33:52 644	3  GrabFrame times:0,result=
17:33:52 695	 2 getImage times:1
17:33:52 695	3  GrabFrame times:1,result=
17:33:52 747	 2 getImage times:2
17:33:52 747	3  GrabFrame times:2,result=
17:33:52 800	 1:start getImage
17:33:52 800	 2 getImage times:0
17:33:52 801	3  GrabFrame times:0,result=
17:33:52 852	 2 getImage times:1
17:33:52 852	3  GrabFrame times:1,result=
17:33:52 904	 2 getImage times:2
17:33:52 904	3  GrabFrame times:2,result=
17:33:55 960	 start loadPinDef
17:33:55 964	 finished loadPinDef
17:33:55 967	 start setSN
17:33:55 968	start cam_stop 
17:33:56 070	finish cam_stop 
17:33:56 570	start cam_stop 
17:33:56 672	finish cam_stop 
17:33:56 672	 start Playnew
17:33:56 673	into cam_play:deviceID2 
17:33:56 673	openDevice:deviceID2 
17:33:56 676	openDevice failed ,return:deviceID2 
17:33:56 676	start cam_stop 
17:33:56 779	finish cam_stop 
17:33:56 980	 start Playnew
17:33:56 980	into cam_play:deviceID2 
17:33:56 981	openDevice:deviceID2 
17:33:56 983	openDevice failed ,return:deviceID2 
17:33:56 984	 1:start getImage
17:33:56 985	 2 getImage times:0
17:33:56 985	3  GrabFrame times:0,result=
17:33:57 037	 2 getImage times:1
17:33:57 037	3  GrabFrame times:1,result=
17:33:57 089	 2 getImage times:2
17:33:57 089	3  GrabFrame times:2,result=
17:33:57 142	 1:start getImage
17:33:57 142	 2 getImage times:0
17:33:57 143	3  GrabFrame times:0,result=
17:33:57 195	 2 getImage times:1
17:33:57 195	3  GrabFrame times:1,result=
17:33:57 247	 2 getImage times:2
17:33:57 247	3  GrabFrame times:2,result=
17:33:57 300	 1:start getImage
17:33:57 300	 2 getImage times:0
17:33:57 301	3  GrabFrame times:0,result=
17:33:57 352	 2 getImage times:1
17:33:57 352	3  GrabFrame times:1,result=
17:33:57 404	 2 getImage times:2
17:33:57 404	3  GrabFrame times:2,result=
17:33:57 457	 1:start getImage
17:33:57 457	 2 getImage times:0
17:33:57 458	3  GrabFrame times:0,result=
17:33:57 509	 2 getImage times:1
17:33:57 509	3  GrabFrame times:1,result=
17:33:57 561	 2 getImage times:2
17:33:57 561	3  GrabFrame times:2,result=
17:33:57 614	 1:start getImage
17:33:57 614	 2 getImage times:0
17:33:57 615	3  GrabFrame times:0,result=
17:33:57 666	 2 getImage times:1
17:33:57 666	3  GrabFrame times:1,result=
17:33:57 718	 2 getImage times:2
17:33:57 718	3  GrabFrame times:2,result=
17:33:57 771	 1:start getImage
17:33:57 772	 2 getImage times:0
17:33:57 772	3  GrabFrame times:0,result=
17:33:57 824	 2 getImage times:1
17:33:57 824	3  GrabFrame times:1,result=
17:33:57 876	 2 getImage times:2
17:33:57 876	3  GrabFrame times:2,result=
17:34:51 387	 start loadPinDef
17:34:51 391	 finished loadPinDef
17:34:51 394	 start setSN
17:34:51 394	start cam_stop 
17:34:51 497	finish cam_stop 
17:34:51 998	start cam_stop 
17:34:52 100	finish cam_stop 
17:34:52 100	 start Playnew
17:34:52 101	into cam_play:deviceID2 
17:34:52 101	openDevice:deviceID2 
17:34:52 103	openDevice failed ,return:deviceID2 
17:34:52 104	start cam_stop 
17:34:52 206	finish cam_stop 
17:34:52 406	 start Playnew
17:34:52 406	into cam_play:deviceID2 
17:34:52 407	openDevice:deviceID2 
17:34:52 409	openDevice failed ,return:deviceID2 
17:34:52 410	 1:start getImage
17:34:52 410	 2 getImage times:0
17:34:52 410	3  GrabFrame times:0,result=
17:34:52 462	 2 getImage times:1
17:34:52 462	3  GrabFrame times:1,result=
17:34:52 514	 2 getImage times:2
17:34:52 514	3  GrabFrame times:2,result=
17:34:52 567	 1:start getImage
